event_id,mag,lat,lon,dist,pga,mmi,mmi_roman
eq1,6.3,19.891,99.831,21.57,0.08814210492748252,7.0,VII
eq1,6.3,19.407,99.137,69.45,0.021143936532213685,7.0,VII
eq1,6.3,18.816,33.09,124.76,0.008879279572142207,4.0,IV
eq1,6.3,18.134,100.127,185.22,0.004172865066242157,4.0,IV
eq1,6.3,19.3,97.973,186.94,0.004074173676044289,4.0,IV
eq1,6.3,17.826,100.776,242.31,0.0021472662732172202,4.0,IV
eq1,6.3,17.585,100.098,244.31,0.00209891770926335,4.0,IV
eq1,6.3,16.749,100.198,337.73,0.0007386594190379955,2.0,II
eq1,6.3,13.813,100.578,666.67,2.314642803509948e-05,4.0,IV
eq1,6.3,13.789,100.551,668.93,2.2675107844318713e-05,4.0,IV
eq1,6.3,13.775,100.574,670.8,2.2213470122015992e-05,3.0,III
eq1,6.3,13.748,100.567,673.59,2.1538729419082494e-05,4.0,IV
eq10,4.5,15.116,98.351,14.92,0.0507453703319934,4.0,IV
eq10,4.5,15.221,98.446,24.73,0.0241087711048438,2.0,II
eq10,4.5,14.75,98.614,34.79,0.0142282885977586,4.0,IV
eq11,4.5,16.516,100.383,4.95,0.103585527648947,4.0,IV
eq11,4.5,16.509,100.382,5.69,0.08753245633091757,4.0,IV
eq11,4.5,16.591,100.416,6.27,0.08753245633091757,4.0,IV
eq11,4.5,16.502,100.339,6.98,0.07482416579401864,7.0,VII
eq11,4.5,16.579,100.305,7.15,0.07482416579401864,4.0,IV
eq11,4.5,16.576,100.3,7.49,0.07482416579401864,4.0,IV
eq11,4.5,16.579,100.3,7.64,0.06460963050743945,4.0,IV
eq11,4.5,16.579,100.299,7.67,0.06460963050743945,4.0,IV
eq11,4.5,16.574,100.298,7.68,0.06460963050743945,3.0,III
eq11,4.5,16.595,100.304,7.97,0.06460963050743945,4.0,IV
eq11,4.5,16.487,100.337,8.54,0.05628950662201362,4.0,IV
eq11,4.5,16.591,100.442,8.71,0.05628950662201362,4.0,IV
eq11,4.5,16.473,100.341,9.87,0.0494323222602514,4.0,IV
eq11,4.5,16.457,100.349,11.42,0.04372139761353823,4.0,IV
eq11,4.5,16.458,100.344,11.44,0.04372139761353823,3.0,III
eq11,4.5,16.456,100.348,11.54,0.0389202901881673,4.0,IV
eq11,4.5,16.455,100.349,11.59,0.0389202901881673,4.0,IV
eq11,4.5,16.455,100.349,11.6,0.0389202901881673,4.0,IV
eq11,4.5,16.472,100.296,12.22,0.0389202901881673,4.0,IV
eq11,4.5,16.449,100.351,12.3,0.0389202901881673,4.0,IV
eq11,4.5,16.613,100.267,12.38,0.0389202901881673,4.0,IV
eq11,4.5,16.454,100.323,12.54,0.0348497461965198,4.0,IV
eq11,4.5,16.445,100.345,12.84,0.0348497461965198,3.0,III
eq11,4.5,16.444,100.347,12.85,0.0348497461965198,4.0,IV
eq11,4.5,16.447,100.332,12.94,0.0348497461965198,4.0,IV
eq11,4.5,16.443,100.342,13.12,0.0348497461965198,4.0,IV
eq11,4.5,16.443,100.336,13.27,0.0348497461965198,4.0,IV
eq11,4.5,16.44,100.343,13.44,0.0348497461965198,4.0,IV
eq11,4.5,16.442,100.332,13.48,0.0348497461965198,3.0,III
eq11,4.5,16.447,100.315,13.61,0.03137199015643864,4.0,IV
eq11,4.5,16.62,100.478,13.64,0.03137199015643864,4.0,IV
eq11,4.5,16.494,100.478,13.71,0.03137199015643864,4.0,IV
eq11,4.5,16.437,100.342,13.75,0.03137199015643864,4.0,IV
eq11,4.5,16.533,100.241,13.81,0.03137199015643864,4.0,IV
eq11,4.5,16.433,100.352,13.98,0.03137199015643864,4.0,IV
eq11,4.5,16.434,100.342,14.03,0.03137199015643864,4.0,IV
eq11,4.5,16.432,100.351,14.12,0.03137199015643864,4.0,IV
eq11,4.5,16.484,100.483,14.8,0.02837980640158691,3.0,III
eq11,4.5,16.438,100.307,14.87,0.02837980640158691,4.0,IV
eq11,4.5,16.487,100.495,15.68,0.0257888168583176,4.0,IV
eq11,4.5,16.582,100.222,15.74,0.0257888168583176,4.0,IV
eq11,4.5,16.437,100.284,16.17,0.0257888168583176,4.0,IV
eq11,4.5,16.42,100.318,16.23,0.0257888168583176,4.0,IV
eq11,4.5,16.399,100.389,17.82,0.02155530558648255,2.0,II
eq11,4.5,16.52,100.202,18.23,0.02155530558648255,4.0,IV
eq11,4.5,16.72,100.333,18.4,0.02155530558648255,4.0,IV
eq11,4.5,16.508,100.201,18.68,0.01981534575187765,4.0,IV
eq11,4.5,16.621,100.544,20.0,0.01827648064973619,3.0,III
eq11,4.5,16.436,100.208,21.78,0.01569010614029485,4.0,IV
eq11,4.5,16.374,100.293,21.99,0.01569010614029485,3.0,III
eq11,4.5,16.353,100.375,22.83,0.01459823384806906,4.0,IV
eq11,4.5,16.53,100.147,23.76,0.01361695942118515,4.0,IV
eq11,4.5,16.346,100.401,23.86,0.01361695942118515,3.0,III
eq11,4.5,16.339,100.367,24.38,0.01361695942118515,4.0,IV
eq11,4.5,16.338,100.348,24.56,0.01273205022969666,4.0,IV
eq11,4.5,16.405,100.539,24.86,0.01273205022969666,4.0,IV
eq11,4.5,16.406,100.538,24.86,0.01273205022969666,3.0,III
eq11,4.5,16.763,100.264,25.39,0.01273205022969666,4.0,IV
eq11,4.5,16.777,100.283,25.98,0.01193145199997059,4.0,IV
eq11,4.5,16.335,100.45,26.33,0.01193145199997059,3.0,III
eq11,4.5,16.745,100.203,27.28,0.01120490549896689,4.0,IV
eq11,4.5,16.746,100.202,27.35,0.01120490549896689,4.0,IV
eq11,4.5,16.737,100.191,27.44,0.01120490549896689,2.0,II
eq11,4.5,16.739,100.19,27.7,0.01054363906189774,4.0,IV
eq11,4.5,16.751,100.202,27.8,0.01054363906189774,4.0,IV
eq11,4.5,16.567,100.63,27.98,0.01054363906189774,4.0,IV
eq11,4.5,16.748,100.192,28.28,0.01054363906189774,2.0,II
eq11,4.5,16.81,100.332,28.3,0.01054363906189774,4.0,IV
eq11,4.5,16.812,100.355,28.32,0.01054363906189774,4.0,IV
eq11,4.5,16.755,100.199,28.4,0.01054363906189774,4.0,IV
eq11,4.5,16.747,100.188,28.46,0.01054363906189774,4.0,IV
eq11,4.5,16.757,100.199,28.5,0.01054363906189774,4.0,IV
eq11,4.5,16.747,100.187,28.51,0.00994012036947358,4.0,IV
eq11,4.5,16.755,100.196,28.58,0.00994012036947358,4.0,IV
eq11,4.5,16.752,100.19,28.7,0.00994012036947358,4.0,IV
eq11,4.5,16.793,100.253,28.86,0.00994012036947358,4.0,IV
eq11,4.5,16.812,100.301,29.15,0.00994012036947358,3.0,III
eq11,4.5,16.815,100.42,29.16,0.00994012036947358,3.0,III
eq11,4.5,16.818,100.328,29.23,0.00994012036947358,4.0,IV
eq11,4.5,16.815,100.302,29.44,0.00994012036947358,2.0,II
eq11,4.5,16.764,100.192,29.65,0.009387854842793688,2.0,II
eq11,4.5,16.797,100.243,29.78,0.009387854842793688,3.0,III
eq11,4.5,16.808,100.261,30.03,0.009387854842793688,4.0,IV
eq11,4.5,16.821,100.304,30.04,0.009387854842793688,4.0,IV
eq11,4.5,16.809,100.264,30.05,0.009387854842793688,4.0,IV
eq11,4.5,16.804,100.251,30.07,0.009387854842793688,4.0,IV
eq11,4.5,16.817,100.283,30.2,0.009387854842793688,4.0,IV
eq11,4.5,16.815,100.265,30.63,0.008881220964497949,4.0,IV
eq11,4.5,16.819,100.275,30.65,0.008881220964497949,4.0,IV
eq11,4.5,16.786,100.205,30.71,0.008881220964497949,4.0,IV
eq11,4.5,16.815,100.261,30.78,0.008881220964497949,4.0,IV
eq11,4.5,16.803,100.233,30.81,0.008881220964497949,4.0,IV
eq11,4.5,16.816,100.258,30.97,0.008881220964497949,3.0,III
eq11,4.5,16.798,100.217,31.13,0.008881220964497949,3.0,III
eq11,4.5,16.825,100.277,31.26,0.008881220964497949,3.0,III
eq11,4.5,16.839,100.381,31.3,0.008881220964497949,4.0,IV
eq11,4.5,16.828,100.282,31.34,0.008881220964497949,4.0,IV
eq11,4.5,16.84,100.372,31.35,0.008881220964497949,3.0,III
eq11,4.5,16.78,100.183,31.52,0.008415335035855296,4.0,IV
eq11,4.5,16.809,100.216,32.31,0.008415335035855296,4.0,IV
eq11,4.5,16.819,100.224,32.85,0.007985939540186573,4.0,IV
eq11,4.5,16.827,100.238,32.97,0.007985939540186573,4.0,IV
eq11,4.5,16.834,100.252,33.14,0.007985939540186573,4.0,IV
eq11,4.5,16.816,100.21,33.23,0.007985939540186573,4.0,IV
eq11,4.5,16.843,100.249,34.1,0.007589310545537556,4.0,IV
eq11,4.5,16.253,100.405,34.17,0.007589310545537556,4.0,IV
eq11,4.5,16.844,100.244,34.41,0.007589310545537556,4.0,IV
eq11,4.5,16.841,100.236,34.53,0.007222180546195568,4.0,IV
eq11,4.5,16.837,100.222,34.65,0.007222180546195568,3.0,III
eq11,4.5,16.839,100.221,34.91,0.007222180546195568,4.0,IV
eq11,4.5,16.848,100.24,35.05,0.007222180546195568,4.0,IV
eq11,4.5,16.859,100.27,35.09,0.007222180546195568,4.0,IV
eq11,4.5,16.763,100.116,35.25,0.007222180546195568,4.0,IV
eq11,4.5,16.859,100.253,35.63,0.006881673887832797,4.0,IV
eq11,4.5,16.809,100.161,35.63,0.006881673887832797,4.0,IV
eq11,4.5,16.859,100.254,35.67,0.006881673887832797,4.0,IV
eq11,4.5,16.243,100.304,35.68,0.006881673887832797,4.0,IV
eq11,4.5,16.863,100.259,35.84,0.006881673887832797,4.0,IV
eq11,4.5,16.855,100.235,35.91,0.006881673887832797,4.0,IV
eq11,4.5,16.869,100.275,35.94,0.006881673887832797,4.0,IV
eq11,4.5,16.851,100.221,36.14,0.006881673887832797,4.0,IV
eq11,4.5,16.853,100.22,36.38,0.006881673887832797,2.0,II
eq11,4.5,16.564,100.016,37.55,0.00627067010476103,4.0,IV
eq11,4.5,16.224,100.427,37.68,0.00627067010476103,2.0,II
eq11,4.5,16.286,100.582,37.88,0.00627067010476103,3.0,III
eq11,4.5,16.901,100.357,38.14,0.00627067010476103,4.0,IV
eq11,4.5,16.212,100.365,38.45,0.00627067010476103,4.0,IV
eq11,4.5,16.886,100.243,38.77,0.005995933446516674,4.0,IV
eq11,4.5,16.888,100.246,38.92,0.005995933446516674,3.0,III
eq11,4.5,16.897,100.259,39.5,0.005739269324077107,4.0,IV
